timestamp,location_zone,total_slots,occupied_slots,free_slots,occupancy_rate,temperature_c,weather,predicted_free_slots_next_30min
2026-01-01 6:00:00,Zone_C,50,46,4,0.92,22,Fog,0
2026-01-01 6:05:00,Zone_A,50,28,22,0.56,35,Clear,26
2026-01-01 6:10:00,Zone_A,50,7,43,0.14,34,Cloudy,39
2026-01-01 6:15:00,Zone_D,50,20,30,0.4,31,Clear,26
2026-01-01 6:20:00,Zone_D,50,19,31,0.38,19,Clear,36
2026-01-01 6:25:00,Zone_A,50,19,31,0.38,30,Clear,26
2026-01-01 6:30:00,Zone_B,50,14,36,0.28,27,Fog,39
2026-01-01 6:35:00,Zone_A,50,11,39,0.22,27,Cloudy,43
2026-01-01 6:40:00,Zone_B,50,40,10,0.8,29,Clear,6
2026-01-01 6:45:00,Zone_A,50,48,2,0.96,24,Fog,5
2026-01-01 6:50:00,Zone_D,50,42,8,0.84,28,Fog,10
2026-01-01 6:55:00,Zone_C,50,16,34,0.32,27,Cloudy,32
2026-01-01 7:00:00,Zone_A,50,26,24,0.52,27,Fog,26
2026-01-01 7:05:00,Zone_C,50,37,13,0.74,20,Clear,14
2026-01-01 7:10:00,Zone_B,50,36,14,0.72,28,Cloudy,15
2026-01-01 7:15:00,Zone_A,50,26,24,0.52,20,Rain,24
2026-01-01 7:20:00,Zone_D,50,10,40,0.2,32,Clear,39
2026-01-01 7:25:00,Zone_D,50,49,1,0.98,20,Clear,0
2026-01-01 7:30:00,Zone_D,50,47,3,0.94,27,Fog,3
2026-01-01 7:35:00,Zone_A,50,15,35,0.3,32,Rain,39
2026-01-01 7:40:00,Zone_A,50,18,32,0.36,33,Clear,31
2026-01-01 7:45:00,Zone_B,50,30,20,0.6,25,Fog,22
2026-01-01 7:50:00,Zone_A,50,30,20,0.6,23,Fog,23
2026-01-01 7:55:00,Zone_C,50,40,10,0.8,22,Fog,9
2026-01-01 8:00:00,Zone_D,50,19,31,0.38,29,Fog,28
2026-01-01 8:05:00,Zone_A,50,19,31,0.38,23,Cloudy,36
